EmployeeID,LastName,FirstName,Title,TitleOfCourtesy,BirthDate,HireDate,Address,City,Region,PostalCode,Country,HomePhone,Extension,Photo,Notes,ReportsTo,PhotoPath,
1,Davolio,Nancy,Sales Representative,Ms.,1948-12-08 00:00:00,1992-05-01 00:00:00,507 - 20th Ave. E.Apt. 2A,Seattle,WA,98122,USA,(206) 555-9857,5467,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D20540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,,2,http://accweb/emmployees/davolio.bmp
2,Fuller,Andrew,Vice President Sales,Dr.,1952-02-19 00:00:00,1992-08-14 00:00:00,908 W. Capital Way,Tacoma,WA,98401,USA,(206) 555-9482,3457,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D20540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,,NULL,http://accweb/emmployees/fuller.bmp
3,Leverling,Janet,Sales Representative,Ms.,1963-08-30 00:00:00,1992-04-01 00:00:00,722 Moss Bay Blvd.,Kirkland,WA,98033,USA,(206) 555-3412,3355,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000080540000424D80540000000000007600000028000000C0000000E0000000010004000000000000540000CE0E0000D80E0000000000,,2,http://accweb/emmployees/leverling.bmp
4,Peacock,Margaret,Sales Representative,Mrs.,1937-09-19 00:00:00,1993-05-03 00:00:00,4110 Old Redmond Rd.,Redmond,WA,98052,USA,(206) 555-8122,5176,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D20540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,,2,http://accweb/emmployees/peacock.bmp
5,Buchanan,Steven,Sales Manager,Mr.,1955-03-04 00:00:00,1993-10-17 00:00:00,14 Garrett Hill,London,NULL,SW1 8JR,UK,(71) 555-4848,3453,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D20540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,,2,http://accweb/emmployees/buchanan.bmp
6,Suyama,Michael,Sales Representative,Mr.,1963-07-02 00:00:00,1993-10-17 00:00:00,Coventry HouseMiner Rd.,London,NULL,EC2 7JR,UK,(71) 555-7773,428,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D16540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,,5,http://accweb/emmployees/davolio.bmp
7,King,Robert,Sales Representative,Mr.,1960-05-29 00:00:00,1994-01-02 00:00:00,Edgeham HollowWinchester Way,London,NULL,RG1 9SP,UK,(71) 555-5598,465,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D16540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,,5,http://accweb/emmployees/davolio.bmp
8,Callahan,Laura,Inside Sales Coordinator,Ms.,1958-01-09 00:00:00,1994-03-05 00:00:00,4726 - 11th Ave. N.E.,Seattle,WA,98105,USA,(206) 555-1189,2344,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D16540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,,2,http://accweb/emmployees/davolio.bmp
9,Dodsworth,Anne,Sales Representative,Ms.,1966-01-27 00:00:00,1994-11-15 00:00:00,7 Houndstooth Rd.,London,NULL,WG2 7LT,UK,(71) 555-4444,452,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D16540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,,5,http://accweb/emmployees/davolio.bmp
10,Knott,Angel,Sales Representative,,1964-12-09 11:04:35,2007-07-13 07:18:02,Yoakley Street,Madrid,Alabama,35658,USA,6-705-528-4605
11,Leslie,Benjamin,Sales Representative,Mr.,1978-11-02 13:56:58,2005-02-13 00:15:54,Bel   Road,Richmond,Hawaii,87560,USA,8-405-304-6085
12,Riley,Ramon,Sales Representative,Mr.,1966-03-25 15:48:16,2012-08-23 18:53:21,Camdale  Pass,Rome,Dr.ouri,29755,USA,0-057-003-3213
13,Abbey,Bart,Sales Representative,Mr.,1963-07-15 06:53:21,2014-04-23 10:06:36,Burton  Street,Fremont,New Jersey,27740,USA,4-333-740-8785
14,Long,Mason,Sales Representative,Mr.,1962-12-31 19:56:43,2008-11-12 05:11:54,Littlebury  Way,Berlin,Connecticut,55052,USA,3-615-583-1274
15,Woodley,Davina,Sales Representative,Dr.,1952-07-23 10:42:25,2019-12-14 17:43:31,Byland  Boulevard,Paris,Wisconsin,46602,USA,5-038-476-7084
16,Myatt,Maddison,Sales Representative,Ms.,1994-07-17 05:08:05,2011-08-06 10:19:07,Callcott   Rue,Norfolk,West Virginia,41479,USA,7-760-148-4380
17,Brown,Gladys,Sales Representative,Dr.,1958-06-01 14:18:00,2008-03-25 21:22:22,Parkgate  Vale,Oakland,Virginia,2144,USA,8-136-053-4761
18,Potts,Alexa,Sales Representative,,1954-12-15 11:09:02,2009-09-13 07:16:24,South Crossroad,Orlando,Delaware,52171,USA,7-635-086-5624
19,Moran,Naomi,Sales Representative,Ms.,1957-07-03 03:21:08,1999-12-11 04:05:56,Duthie   Hill,Lakewood,Connecticut,87749,USA,1-007-848-2106
20,Shaw,Rocco,Staffing Consultant,Mr.,1980-09-17 15:36:46,2014-12-25 07:57:22,Sherwood  Way,Columbus,Florida,23002,USA,0-664-145-8520
21,Ward,Leroy,Sales Representative,Mr.,1970-07-13 06:27:26,2020-05-11 04:24:05,St. Pauls  Crossroad,Lincoln,West Virginia,87559,USA,8-406-086-2582
22,Watson,Sarah,Executive Director,Dr.,1968-12-28 16:54:16,2002-08-09 07:00:46,Hickory Lane Crossroad,Garland,Colorado,1980,USA,4-802-357-2148
23,Rossi,Rufus,Sales Representative,Mr.,1957-07-14 01:23:36,2009-05-21 07:41:35,Black Friars   Hill,Madison,Washington,25573,USA,6-023-425-6008
24,Robertson,Tyson,Sales Representative,Mr.,1989-01-21 11:36:09,2014-11-27 05:14:23,Bendmore  Vale,St. Louis,Indiana,16252,USA,1-580-786-2076
25,Mcguire,Bryon,Call Center Representative,Mr.,1994-07-08 06:15:57,2017-04-13 22:35:05,Udall   Grove,San Antonio,Hawaii,53792,USA,8-152-831-4533
26,Knight,Joseph,Sales Representative,Mr.,1959-06-15 20:44:25,2004-05-18 00:10:10,Magnolia Vale,Milwaukee,Alabama,58697,USA,0-765-747-7322
27,Adler,Alexander,Sales Representative,Mr.,1975-10-27 19:38:04,2004-01-22 20:10:06,Pine Drive,Quebec,Vermont,32241,USA,2-272-356-7785
28,Emerson,Julianna,Sales Representative,Dr.,1970-05-04 07:36:31,2013-09-21 04:12:30,Arlington  Street,Anaheim,Montana,56288,USA,4-346-884-3485
29,Cassidy,Sydney,Sales Representative,Dr.,1973-01-26 16:53:09,2011-01-20 15:46:45,Blore  Vale,Wien,Pennsylvania,12240,USA,0-128-317-7423
30,Harvey,Anne,Sales Representative,Ms.,1961-04-03 10:01:10,2015-04-11 20:40:24,Gate   Crossroad,Worcester,Texas,61847,USA,7-123-833-0320
31,Parr,Martin,Sales Representative,Mr.,1993-01-25 01:46:58,2019-02-26 13:19:55,Camdenhurst   Alley,Milano,Alabama,59495,USA,5-015-325-4756
32,Glynn,Angelina,Sales Representative,Ms.,1984-11-15 01:40:41,1998-12-28 11:55:37,Thoresby   Tunnel,Baltimore,Illinois,94704,USA,8-437-504-5230
33,Reynolds,Sonya,Sales Representative,Dr.,1977-06-10 13:51:14,2008-05-19 10:10:52,Angela   Vale,Denver,Michigan,67372,USA,4-240-516-1006
34,Gallacher,Jayden,Sales Representative,Mr.,1963-08-16 16:20:10,2015-05-19 04:30:42,Sundown Avenue,Nashville,Georgia,41179,USA,7-881-877-1500
